"StockNo","xVIN","categorie","xAirCleaners","xAirHorns","xAirSeatDriver","xAirSeatPassenger","xAppraisalACV","xAppraisalReference","xAPU","xAtmtcTrctnCntrl","xBlockHeater","xBodyStyle","xBranch","xBranchOrdered","xBuildDate","xBunk","xCA","xCabConfiguration","xCBRadio","xChassisCost","xChromeBumper","xColorExterior","xColorExteriorCode","xCondition","xCustomerID","xCustomerName","xCustStock","xCylinders","xDateInService","xDateReceived","xDaysOnHand","xDepartment","xDriveLine","xDriverSeat","xEngineBrake","xEngineHours","xEngineHP","xEngineManufacturer","xEngineModel","xEngineSN","xEngineTorque","xEstDelMo","xExhaust","xExpectedArrival","xFactoryFET","xFactoryWarranty","xFifthWheel","xFleetVehicleID","xFlooring","xFlooringDate","xFontWheels","xFrame","xFrntAxlMnfctrr","xFrontAxleModel","xFrontAxleSN","xFrontAxleWeight","xFrontBreaks","xFrontSuspension","xFrontTires","xFuelType","xGVWR","xHeatedMirrors","xInteriorClass","xInteriorColor","xInteriorColorCode","xInternalComments","xInventoryCost","xInvoice","xInvoiceDate","xKeyCode1","xKeyCode2","xLeftFuelTank","xLiftAxle","xLiftAxleWeight","xLockers","xLotLocation","xMake","xMiscEquipment","xModel","xOdometer","xOdometerKM_Miles","xOH","xOnHoldFor","xOrderDate","xOurPrice","xPassengerSeat","xPODate","xPONum","xPowerLocks","xPrePaidFreight","xPreviousOwner","xProductClass","xRearAxleFrontModel","xRearAxleFrontSN","xRearAxleRatio","xRearAxleRearModel","xRearAxleRearSN","xRearAxleWeight","xRearBreaks","xRearTires","xRearWheels","xRefrigerator","xRightFuelTank","xRrAxlFrntMnfctrr","xRrAxlRrMnfctrr","xSalesmanOrdered","xSatelliteRadio","xScheduleDate","xSellingStatus","xSleeper","xSleeperType","xSoldDate","xSpeeds","xStatus","xStereo","xSuspensionType","xThumbnail","xTrailerLength","xTrailerType","xTrailerWidth","xTransmission","xTransmissionModel","xTransmissionSN","xTRLAxleType","xTrnsmssnMnfctrr","xType","xVehicleType","xWebComments","xWheelbase","xYear","web_link","Photos"
"988893A","1XKYDP9X2HJ988893","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","WHITE/RED","","Used","P50","INT USED TRUCK INVENTORY","","","","3/24/2021 12:00:00 AM","19","Used","","","","","455","Pacar","MX13","","1650","","SINGLE HORIZONTAL","","","","","988893A","","","","","","","","13200","","","11R22.5 ALUMINUM RIMS","","0","","","","","Factory installed inverter

Batt APU","","","","","","100 GALLON","","","","Bergen","KENWORTH","","T680","1008004.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.70","","","40000","","11R22.5 ALUMINUM RIMS","","","100 GALLON","","","","","","Available","76RR","","","","Available - In Stock","","","","n/a","","","","Ultra Shift Auto","","","Eaton","Truck","Used Truck","","226","2017","",""
"988904A","1XKYDP9X3HJ988904","TRK","","","","","","","","","","Conventional Cab","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","WHITE/RED","","Used","P50","INT USED TRUCK INVENTORY","","","","3/24/2021 12:00:00 AM","19","Used","","","","","455","Pacar","MX13","","1650","","SINGLE HORIZONTAL","","","","","988904A","","","","","","","","13200","","","11R22.5 ALUMINUM RIMS","Diesel","0","","","","","Factory installed inverter

Batt APU","","","","","","100 GALLON","","","","Bergen","KENWORTH","","T680","1020303.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.70","","","40000","","11R22.5 ALUMINUM RIMS","","","100 GALLON","","","","","","Available","76RR","","","","Available - In Stock","","","","n/a","","","","Ultra Shift Auto","","","Eaton","Truck","Used Truck","","226","2017","",""
"NN3018","NN3018","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","Red","","New","P153","INT NEW TRUCK MD INVENTORY","","","","","","New","","","","","360","Cummins","L9","","1150","","","","","","","NN3018","","","","","","","","13300","","","","","0","","","","","","","","","","","","","","","","FREIGHTLINER","","M2-106","","Kilometers","","","","0.000000000","","","","","","","Units","","","5.63","","","27000","","","","","","","","","","","Available","Chassis","","","","Available - On Order","","","","","","","","3000 EVS Auto","","","Allison","Truck","New M2-106","","259","2022","",""
"988930A","1XKYDP9X7JJ988930","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","RED/WHITE","","Used","P50","INT USED TRUCK INVENTORY","","","","3/18/2021 12:00:00 AM","25","Used","","","","","455","Pacar","MX13","","1750","","SINGLE HORIZONTAL","","","","","988930A","","","","","","","","13200","","","11R22.5 ALUMINUM","","0","","","","","","","","","","","100 Gallon","","","","Bergen","KENWORTH","","T680","1014802.0","Kilometers","","","","0.000000000","","","","","","","Units","","","2.85","","","40000","","11R22.5 ALUMINUM","","","100 Gallon","","","","","","Available","76RR","","","","Available - In Stock","","","","","","","","10 Speed Auto Ultra Shift","","","Eaton","Truck","Used Truck","","226","2018","",""
"988928A","1XKYDP9X9JJ988928","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","RED/WHITE","","Used","P50","INT USED TRUCK INVENTORY","","","","3/18/2021 12:00:00 AM","25","Used","","","","","455","Pacar","MX13","","1750","","SINGLE HORIZONTAL","","","","","988928A","","","","","","","","13200","","","11R22.5 ALUMINUM","","0","","","","","","","","","","","100 Gallon","","","","Bergen","KENWORTH","","T680","1051574.0","Kilometers","","","","0.000000000","","","","","","","Units","","","2.85","","","40000","","11R22.5 ALUMINUM","","","100 Gallon","","","","","","Available","76RR","","","","Available - In Stock","","","","","","","","10 Speed Auto Ultra Shift","","","Eaton","Truck","Used Truck","","226","2018","",""
"LT408023","3H3F532C3LT408023","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408023","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"LT408024","3H3F532C5LT408024","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408024","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"LT408016","3H3F532C6LT408016","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","n/a","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","n/a","n/a","n/a","","","","","","","","","LT408016","","","","","","","","n/a","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","n/a","","","n/a","","","Steel","","","","","","","","Available","n/a","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","n/a","","","n/a","Trailer","New Trailers","","n/a","2020","",""
"LT408014","3H3F532C2LT408014","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408014","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"LT408015","3H3F532C4LT408015","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408015","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
